,id,some_number
1314,1916,0
1315,2326,15
1316,2319,0
1317,2326,10
1318,2319,3
1319,1913,20
1320,1585,3
1321,2097,10
1322,2319,3
1323,1916,24
1324,953,0
1325,1908,15
1326,2319,0
1327,1966,0
1328,2326,17
1329,1773,19
1330,2326,10
1331,2326,201
1332,1585,9
1333,2319,9
1334,2319,3
1335,2326,0
1336,2273,105
1337,2326,15
1338,2319,0
1339,2319,0
1340,2326,15
1341,2319,0
1342,1572,17
1343,1916,11
1344,2319,0
1345,2273,10
1346,1484,197
1347,2319,3
1348,2319,3
1349,1908,72
1350,2319,9
1351,2319,0
1352,2326,15
1353,1913,20
1354,1585,14
1355,2364,166
1356,1585,147
1357,2326,15
1358,2273,64
1359,2393,94
1360,2097,10
1361,1966,303
1362,2319,0
1363,1585,4
1364,1916,24
1365,2319,3
1366,2319,0
1367,2319,3
1368,2734,0
1369,2273,10
1370,1916,20
1371,2326,27
1372,2319,3
1373,2326,0
1374,1908,9
1375,2319,3
1376,2097,39
1377,2319,9
1378,1913,20
1379,1585,4
1380,2319,9
1381,2326,351
1382,2634,12
1383,2326,17
1384,2319,0
1385,2319,3
1386,2097,9
1387,1913,0
1388,2273,10
1389,1916,0
1390,2364,167
1391,2319,0
1392,1572,17
1393,1908,9
1394,2326,15
1395,2319,3
1396,2326,15
1397,2393,72
1398,1572,17
1399,1908,72
1400,1913,0
1401,2326,15
1402,2326,259
1403,2347,0
1404,1908,9
1405,2319,0
1406,2326,352
1407,2326,15
1408,1916,0
1409,2319,0
1410,1966,61
1411,1908,72
1412,2319,3
1413,2634,15
1414,1913,0
1415,2326,27
1416,1913,20
1417,2326,0
1418,2319,3
1419,2326,15
1420,1585,39
1421,1913,0
1422,2319,9
1423,2319,3
1424,2273,20
1425,2319,0
1426,2319,3
1427,2273,9
1428,2364,169
1429,2319,0
1430,1916,0
1431,2273,22
1432,2326,22
1433,2319,0
1434,2319,0
1435,2326,15
1436,2326,27
1437,2326,164
1438,2319,3
1439,1913,20
1440,2280,404
1441,2319,3
1442,2097,26
1443,2326,15
1444,1585,4
1445,2319,0
1446,1966,4
1447,2319,9
1448,953,0
1449,1966,9
1450,2319,3
1451,1916,24
1452,1913,0
1453,2319,9
1454,2393,20
1455,2326,285
1456,2319,0
1457,1913,0
1458,1913,0
1459,1913,0
1460,2319,9
1461,1913,0
1462,1585,147
1463,2319,0
1464,2319,0
1465,1913,0
1466,2319,9
1467,2326,15
1468,2319,3
1469,953,0
1470,1572,15
1471,2326,15
1472,2235,405
1473,2326,15
1474,2097,258
1475,1572,15
1476,2326,15
1477,1999,22
1478,1585,4
1479,1913,0
1480,2319,0
1481,2326,394
1482,2326,15
1483,72,6
1484,2319,3
1485,2326,17
1486,1908,10
1487,2326,15
1488,2319,0
1489,2326,15
1490,2319,3
1491,1913,0
1492,1916,0
1493,2235,0
1494,2319,0
1495,1916,24
1496,1913,0
1497,2326,15
1498,1966,4
1499,2326,15
1500,1572,17
1501,2273,22
1502,1585,14
1503,2326,15
1504,2326,24
1505,2326,15
1506,2319,3
1507,1966,0
1508,2326,0
1509,2319,3
1510,2319,3
1511,1916,0
1512,2319,0
1513,1908,9
1514,2326,305
1515,1913,0
1516,1913,0
1517,2319,0
1518,2326,15
1519,2326,27
1520,2326,15
1521,1585,4
1522,2326,200
1523,2536,0
1524,2319,3
1525,2326,212
1526,2273,20
1527,2273,22
1528,2319,0
1529,2273,22
1530,2326,200
1531,2326,15
1532,2273,3
1533,2097,150
1534,2319,3
1535,2326,0
1536,2205,15
1537,2326,15
1538,2319,9
1539,2243,406
1540,953,0
1541,2393,39
1542,1916,24
1543,2326,15
1544,2326,27
1545,1966,0
1546,2326,27
1547,2235,0
1548,2326,17
1549,2326,15
1550,438,92
1551,1572,15
1552,2326,373
1553,2326,15
1554,1908,72
1555,2319,3
1556,2326,338
1557,1916,20
1558,2319,3
1559,2326,15
1560,2319,0
1561,2319,0
1562,1916,22
1563,1585,83
1564,1600,24
1565,2319,3
1566,2319,3
1567,2326,27
1568,2235,145
1569,1913,0
1570,2326,259
1571,1908,72
1572,2393,26
1573,1585,4
1574,2243,15
1575,2319,3
1576,1908,9
1577,1572,17
1578,1916,24
1579,2326,17
1580,2319,0
1581,1999,0
1582,2319,0
1583,2319,3
1584,1482,112
1585,2319,9
1586,2319,0
1587,2326,15
1588,1585,311
1589,2319,9
1590,1916,3
1591,2319,3
1592,2326,15
1593,2319,0
1594,2326,15
1595,1908,10
1596,2326,15
1597,2326,15
1598,2326,15
1599,1913,0
1600,1585,73
1601,2326,27
1602,1916,0
1603,120,407
1604,2319,0
1605,2319,0
1606,1999,200
1607,2393,72
1608,1913,0
1609,2319,0
1610,2319,0
1611,953,0
1612,438,408
1613,2326,15
1614,1908,56
1615,1908,9
1616,2319,3
1617,1585,4
1618,2319,0
1619,1908,10
1620,2326,15
1621,2326,366
1622,2319,9
1623,1913,0
1624,1913,0
1625,2319,0
1626,1966,4
1627,380,409
1628,2326,15
1629,1913,0
1630,1913,0
1631,2319,0
1632,1585,14
1633,2319,3
1634,2326,15
1635,2319,0
1636,1442,24
1637,2319,3
1638,2326,27
1639,1802,27
1640,1572,15
1641,1572,15
1642,1482,238
1643,2326,15
1644,1966,52
1645,1999,0
1646,2319,0
1647,1572,15
1648,1585,9
1649,2319,9
1650,2326,17
1651,1908,10
1652,2273,20
1653,1482,121
1654,2205,15
1655,772,72
1656,2326,15
1657,2734,0
1658,1908,17
1659,2319,3
1660,2319,0
1661,953,0
1662,1585,4
1663,2326,27
1664,2319,3
1665,2319,3
1666,2734,0
1667,1916,20
1668,953,0
1669,2319,0
1670,2273,10
1671,2326,305
1672,2319,0
1673,2319,3
1674,2326,15
1675,1999,0
1676,953,0
1677,1916,17
1678,2319,9
1679,2319,0
1680,2319,0
1681,2326,0
1682,2326,27
1683,1585,9
1684,2326,15
1685,1482,125
1686,1908,10
1687,1916,3
1688,1908,72
1689,2326,15
1690,2326,15
1691,2326,0
1692,2393,9
1693,2273,3
1694,1913,0
1695,2319,0
1696,1908,9
1697,1913,0
1698,2319,3
1699,1913,0
1700,1572,15
1701,1585,14
1702,2326,370
1703,1572,15
1704,2326,15
1705,2319,0
1706,2319,0
1707,2319,3
1708,1916,3
1709,2326,0
1710,2326,15
1711,1999,0
1712,2326,15
1713,2326,15
1714,2326,15
1715,2326,15
1716,2319,3
1717,2273,10
1718,1916,24
1719,2319,0
1720,2326,15
1721,2273,10
1722,2319,3
1723,2319,3
1724,2326,15
1725,2319,24
1726,1572,15
1727,2319,0
1728,2097,39
1729,2319,0
1730,2319,24
1731,1482,128
1732,953,0
1733,1585,0
1734,2319,3
1735,2319,0
1736,2319,3
1737,2326,27
1738,2326,15
1739,2326,15
1740,2326,385
1741,2326,15
1742,2734,0
1743,2319,0
1744,2319,0
1745,1966,4
1746,120,410
1747,2319,0
1748,2123,106
1749,1585,147
1750,2319,0
1751,2319,0
1752,1585,9
1753,1908,10
1754,1913,20
1755,2326,15
1756,2319,0
1757,1916,17
1758,2326,15
1759,2319,3
1760,2319,0
1761,1482,112
1762,1585,14
1763,2319,3
1764,2319,0
1765,2319,0
1766,2273,10
1767,2319,3
1768,1916,0
1769,2319,0
1770,953,0
1771,2393,72
1772,1908,15
1773,1966,4
1774,1482,124
1775,1572,17
1776,1913,0
1777,2326,15
1778,2326,22
1779,1572,15
1780,1913,0
1781,1585,207
1782,1585,3
1783,380,21
1784,2326,366
1785,1913,0
1786,2326,15
1787,2123,411
1788,1908,10
1789,2319,0
1790,2205,43
1791,2326,15
1792,2734,0
1793,2326,15
1794,2326,376
1795,2326,15
1796,1913,0
1797,1913,0
1798,2319,3
1799,1913,0
1800,2326,106
1801,1916,3
1802,2326,15
1803,72,6
1804,2326,15
1805,1966,9
1806,2319,22
1807,1585,9
1808,2326,15
1809,2326,15
1810,2319,9
1811,1913,0
1812,2326,379
1813,1913,0
1814,1585,73
1815,1913,0
1816,2734,0
1817,1913,0
1818,2319,0
1819,2326,15
1820,2734,0
1821,1913,20
1822,1482,121
1823,2319,0
1824,2326,371
1825,2319,9
1826,2326,17
1827,2326,15
1828,1908,72
1829,1853,412
1830,1916,24
1831,1908,56
1832,1913,0
1833,1916,20
1834,1529,15
1835,1999,0
1836,2326,15
1837,2319,3
1838,2319,3
1839,2634,15
1840,1908,9
1841,1966,0
1842,1585,14
1843,2326,380
1844,2319,3
1845,1572,15
1846,2326,41
1847,1966,0
1848,1916,0
1849,2319,3
1850,1913,20
1851,1442,24
1852,120,407
1853,2319,0
1854,1916,24
1855,2326,17
1856,2326,372
1857,2319,3
1858,1916,3
1859,2326,15
1860,953,109
1861,2319,3
1862,953,0
1863,2326,15
1864,2326,15
1865,2326,15
1866,2326,15
1867,1585,14
1868,2326,0
1869,2326,15
1870,1966,52
1871,2326,15
1872,2319,0
1873,2319,9
1874,2319,3
1875,2319,3
1876,1585,58
1877,1908,17
1878,2319,3
1879,1908,15
1880,2326,15
1881,953,0
